Age,RemoteWork,EdLevel,YearsCodePro,Country,Industry,Salary
35-44 years old,In-person,Master’s degree,9.0,Germany,"IT, Software Development, Technology",82459.0
18-24 years old,In-person,Bachelor’s degree,2.0,Netherlands,Insurance,38552.0
35-44 years old,In-person,Bachelor’s degree,14.0,Brazil,Healthcare,24345.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,Germany,Retail and Consumer Services,86528.0
25-34 years old,Hybrid,Master’s degree,5.0,Norway,Oil & Gas,117798.0
25-34 years old,Hybrid,Master’s degree,6.0,Germany,"IT, Software Development, Technology",85672.0
35-44 years old,Remote,Master’s degree,9.0,France,Retail and Consumer Services,85672.0
25-34 years old,Remote,Bachelor’s degree,10.0,United States,"IT, Software Development, Technology",200990.0
45-54 years old,Hybrid,Master’s degree,25.0,Germany,Other,96381.0
25-34 years old,Remote,Bachelor’s degree,6.0,India,"IT, Software Development, Technology",18175.0
45-54 years old,Hybrid,Less than a Bachelors,28.0,Finland,Financial Services,107090.0
25-34 years old,Hybrid,Bachelor’s degree,4.0,Switzerland,"Manufacturing, Transportation, Supply",121238.0
35-44 years old,Remote,Master’s degree,12.0,Portugal,"IT, Software Development, Technology",69608.0
25-34 years old,Hybrid,Master’s degree,5.0,Austria,"IT, Software Development, Technology",59970.0
18-24 years old,Hybrid,Bachelor’s degree,5.0,Canada,"IT, Software Development, Technology",52046.0
25-34 years old,Hybrid,Bachelor’s degree,7.0,Netherlands,Other,71326.0
25-34 years old,Hybrid,Bachelor’s degree,5.0,Austria,"Manufacturing, Transportation, Supply",62969.0
35-44 years old,Hybrid,Bachelor’s degree,12.0,United Kingdom,Other,55862.0
35-44 years old,Remote,Master’s degree,8.0,India,"IT, Software Development, Technology",24234.0
18-24 years old,Hybrid,Bachelor’s degree,3.0,Spain,"IT, Software Development, Technology",26772.0
35-44 years old,Hybrid,Master’s degree,18.0,Italy,"Manufacturing, Transportation, Supply",65325.0
45-54 years old,Hybrid,Master’s degree,24.0,Sweden,"IT, Software Development, Technology",51415.0
45-54 years old,Hybrid,Bachelor’s degree,30.0,Denmark,Healthcare,138033.0
18-24 years old,Remote,Bachelor’s degree,4.0,India,Financial Services,36351.0
25-34 years old,In-person,Master’s degree,8.0,France,Retail and Consumer Services,55687.0
35-44 years old,Hybrid,Less than a Bachelors,17.0,Italy,Wholesale,56757.0
25-34 years old,Hybrid,Bachelor’s degree,7.0,Germany,Other,101735.0
25-34 years old,In-person,Bachelor’s degree,3.0,Switzerland,Other,99195.0
18-24 years old,Hybrid,Bachelor’s degree,0.5,Russian,"IT, Software Development, Technology",59403.0
25-34 years old,Remote,Bachelor’s degree,7.0,United States,"IT, Software Development, Technology",120000.0
25-34 years old,Remote,Bachelor’s degree,5.0,Brazil,"IT, Software Development, Technology",30431.0
35-44 years old,In-person,Less than a Bachelors,14.0,Sweden,"IT, Software Development, Technology",55285.0
35-44 years old,Hybrid,Less than a Bachelors,8.0,France,Other,64254.0
45-54 years old,Hybrid,Bachelor’s degree,25.0,Germany,Retail and Consumer Services,79246.0
25-34 years old,Remote,Bachelor’s degree,7.0,United States,"IT, Software Development, Technology",240000.0
55-64 years old,Hybrid,Less than a Bachelors,38.0,Germany,Retail and Consumer Services,74963.0
18-24 years old,Hybrid,Master’s degree,4.0,Germany,"Manufacturing, Transportation, Supply",61041.0
35-44 years old,Hybrid,Less than a Bachelors,18.0,Israel,"IT, Software Development, Technology",138985.0
25-34 years old,Remote,Master’s degree,3.0,Germany,"IT, Software Development, Technology",55687.0
45-54 years old,Remote,Bachelor’s degree,25.0,United States,Oil & Gas,150000.0
25-34 years old,Remote,Master’s degree,8.0,Russian,Legal Services,60393.0
35-44 years old,Hybrid,Bachelor’s degree,10.0,Germany,"IT, Software Development, Technology",77104.0
35-44 years old,Remote,Bachelor’s degree,8.0,Sweden,"IT, Software Development, Technology",130841.0
45-54 years old,Remote,Bachelor’s degree,25.0,Germany,Healthcare,91026.0
25-34 years old,Hybrid,Master’s degree,5.0,Finland,Financial Services,69608.0
55-64 years old,Remote,Master’s degree,29.0,United States,Healthcare,15400.0
35-44 years old,Hybrid,Bachelor’s degree,7.0,Germany,Insurance,80317.0
35-44 years old,In-person,Bachelor’s degree,15.0,Italy,Wholesale,19276.0
25-34 years old,Hybrid,Post grad,5.0,Italy,Higher Education,21418.0
18-24 years old,Hybrid,Less than a Bachelors,2.0,Italy,"IT, Software Development, Technology",19276.0
35-44 years old,Hybrid,Bachelor’s degree,15.0,Switzerland,"IT, Software Development, Technology",154303.0
35-44 years old,Hybrid,Bachelor’s degree,22.0,Canada,Other,178443.0
25-34 years old,Remote,Master’s degree,12.0,India,"IT, Software Development, Technology",26657.0
35-44 years old,Hybrid,Master’s degree,21.0,Germany,Retail and Consumer Services,149925.0
35-44 years old,Hybrid,Less than a Bachelors,12.0,United Kingdom,"IT, Software Development, Technology",69517.0
35-44 years old,Remote,Post grad,12.0,Germany,"IT, Software Development, Technology",77104.0
25-34 years old,Hybrid,Less than a Bachelors,13.0,Germany,"IT, Software Development, Technology",69608.0
25-34 years old,Hybrid,Bachelor’s degree,2.0,Netherlands,Financial Services,51403.0
18-24 years old,Hybrid,Bachelor’s degree,1.0,India,"Manufacturing, Transportation, Supply",12723.0
25-34 years old,Hybrid,Master’s degree,3.0,Switzerland,Other,115727.0
35-44 years old,Remote,Bachelor’s degree,14.0,Germany,"IT, Software Development, Technology",64254.0
25-34 years old,Hybrid,Less than a Bachelors,5.0,Italy,"IT, Software Development, Technology",18205.0
25-34 years old,In-person,Bachelor’s degree,3.0,Germany,Retail and Consumer Services,64254.0
25-34 years old,Hybrid,Master’s degree,5.0,Austria,Healthcare,61469.0
25-34 years old,In-person,Bachelor’s degree,2.0,Norway,"Manufacturing, Transportation, Supply",90613.0
35-44 years old,In-person,Less than a Bachelors,21.0,Canada,"Manufacturing, Transportation, Supply",64686.0
45-54 years old,Hybrid,Post grad,20.0,United Kingdom,Financial Services,14897.0
25-34 years old,Remote,Bachelor’s degree,5.0,Brazil,"IT, Software Development, Technology",40575.0
25-34 years old,Hybrid,Bachelor’s degree,3.0,Germany,Healthcare,59970.0
35-44 years old,Remote,Bachelor’s degree,15.0,Germany,"Manufacturing, Transportation, Supply",65325.0
25-34 years old,Remote,Bachelor’s degree,10.0,India,Financial Services,65431.0
25-34 years old,Hybrid,Less than a Bachelors,4.0,Germany,Healthcare,57828.0
35-44 years old,Remote,Master’s degree,15.0,United States,"IT, Software Development, Technology",125000.0
35-44 years old,Remote,Master’s degree,11.0,United States,"IT, Software Development, Technology",175000.0
35-44 years old,Hybrid,Less than a Bachelors,11.0,France,Higher Education,104948.0
35-44 years old,Remote,Master’s degree,12.0,Italy,Healthcare,44978.0
25-34 years old,Remote,Master’s degree,5.0,Italy,Retail and Consumer Services,68537.0
25-34 years old,In-person,Master’s degree,6.0,Germany,"IT, Software Development, Technology",64254.0
25-34 years old,Remote,Bachelor’s degree,11.0,Austria,Financial Services,117798.0
25-34 years old,In-person,Less than a Bachelors,5.0,France,"Manufacturing, Transportation, Supply",38981.0
25-34 years old,Hybrid,Master’s degree,5.0,Netherlands,Healthcare,69608.0
25-34 years old,Remote,Master’s degree,7.0,Austria,"IT, Software Development, Technology",59970.0
18-24 years old,Hybrid,Bachelor’s degree,5.0,Denmark,"Manufacturing, Transportation, Supply",77644.0
25-34 years old,Hybrid,Bachelor’s degree,15.0,United States,"IT, Software Development, Technology",215000.0
25-34 years old,Hybrid,Master’s degree,3.0,Poland,"IT, Software Development, Technology",47852.0
45-54 years old,Remote,Master’s degree,15.0,United Kingdom,Financial Services,62069.0
25-34 years old,Hybrid,Master’s degree,14.0,United States,"IT, Software Development, Technology",140000.0
25-34 years old,Hybrid,Less than a Bachelors,5.0,Poland,"IT, Software Development, Technology",53403.0
25-34 years old,Remote,Master’s degree,15.0,Germany,"IT, Software Development, Technology",203470.0
25-34 years old,Remote,Post grad,3.0,Germany,Other,117798.0
25-34 years old,Hybrid,Bachelor’s degree,2.0,Germany,Retail and Consumer Services,64254.0
18-24 years old,In-person,Master’s degree,1.0,France,"IT, Software Development, Technology",33733.0
25-34 years old,Remote,Bachelor’s degree,2.0,India,Healthcare,12117.0
35-44 years old,Remote,Master’s degree,2.0,United States,"IT, Software Development, Technology",90000.0
35-44 years old,Hybrid,Master’s degree,15.0,Sweden,"Manufacturing, Transportation, Supply",50752.0
25-34 years old,Hybrid,Bachelor’s degree,7.0,United States,Financial Services,165974.0
55-64 years old,Hybrid,Post grad,20.0,United Kingdom,Other,40966.0
35-44 years old,Remote,Bachelor’s degree,9.0,United States,Healthcare,192000.0
25-34 years old,Hybrid,Bachelor’s degree,7.0,Germany,Financial Services,102806.0
45-54 years old,Remote,Bachelor’s degree,27.0,United States,"Manufacturing, Transportation, Supply",145000.0
35-44 years old,Remote,Master’s degree,13.0,Spain,"IT, Software Development, Technology",64254.0
18-24 years old,Hybrid,Less than a Bachelors,2.0,United States,"IT, Software Development, Technology",70000.0
25-34 years old,In-person,Bachelor’s degree,11.0,Switzerland,"IT, Software Development, Technology",110216.0
45-54 years old,Remote,Master’s degree,15.0,Spain,"IT, Software Development, Technology",53545.0
25-34 years old,In-person,Master’s degree,10.0,Germany,"Manufacturing, Transportation, Supply",51403.0
25-34 years old,Hybrid,Bachelor’s degree,12.0,India,"IT, Software Development, Technology",26318.0
25-34 years old,Remote,Bachelor’s degree,5.0,Canada,"IT, Software Development, Technology",111527.0
25-34 years old,In-person,Master’s degree,6.0,Germany,"IT, Software Development, Technology",55687.0
25-34 years old,Hybrid,Less than a Bachelors,6.0,Netherlands,"IT, Software Development, Technology",32127.0
25-34 years old,Remote,Bachelor’s degree,4.0,United States,"IT, Software Development, Technology",126000.0
45-54 years old,In-person,Post grad,28.0,United States,Higher Education,183000.0
35-44 years old,Hybrid,Master’s degree,14.0,United States,"IT, Software Development, Technology",125000.0
25-34 years old,Remote,Bachelor’s degree,8.0,Spain,Other,74963.0
35-44 years old,Hybrid,Bachelor’s degree,11.0,Spain,"IT, Software Development, Technology",29985.0
25-34 years old,Hybrid,Master’s degree,4.0,Germany,"IT, Software Development, Technology",74963.0
35-44 years old,Remote,Less than a Bachelors,12.0,United States,"IT, Software Development, Technology",200000.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,Israel,Advertising Services,176404.0
45-54 years old,In-person,Master’s degree,24.0,Russian,Other,29702.0
25-34 years old,Hybrid,Master’s degree,13.0,Austria,"IT, Software Development, Technology",99593.0
25-34 years old,In-person,Bachelor’s degree,0.5,Germany,Advertising Services,41765.0
25-34 years old,Hybrid,Post grad,4.0,United Kingdom,"IT, Software Development, Technology",86897.0
25-34 years old,Remote,Less than a Bachelors,5.0,United States,"IT, Software Development, Technology",170000.0
25-34 years old,Hybrid,Less than a Bachelors,8.0,United States,Insurance,130000.0
35-44 years old,In-person,Less than a Bachelors,8.0,Canada,"Manufacturing, Transportation, Supply",63199.0
25-34 years old,Hybrid,Bachelor’s degree,8.0,Germany,"IT, Software Development, Technology",68537.0
35-44 years old,Remote,Master’s degree,23.0,Russian,Financial Services,79749.0
25-34 years old,In-person,Bachelor’s degree,7.0,Netherlands,"IT, Software Development, Technology",32127.0
25-34 years old,In-person,Less than a Bachelors,5.0,Italy,"IT, Software Development, Technology",42836.0
25-34 years old,Remote,Bachelor’s degree,6.0,Italy,Other,40694.0
35-44 years old,In-person,Bachelor’s degree,21.0,Sweden,"Manufacturing, Transportation, Supply",49756.0
25-34 years old,Remote,Master’s degree,6.0,Poland,"IT, Software Development, Technology",119631.0
25-34 years old,In-person,Less than a Bachelors,7.0,United Kingdom,"IT, Software Development, Technology",34759.0
45-54 years old,Hybrid,Less than a Bachelors,21.0,Germany,Healthcare,87813.0
35-44 years old,Remote,Master’s degree,14.0,Germany,Retail and Consumer Services,102806.0
25-34 years old,Hybrid,Bachelor’s degree,4.0,Germany,"IT, Software Development, Technology",44978.0
25-34 years old,Hybrid,Bachelor’s degree,4.0,India,"IT, Software Development, Technology",30292.0
35-44 years old,Hybrid,Bachelor’s degree,15.0,Brazil,"IT, Software Development, Technology",16230.0
35-44 years old,Remote,Master’s degree,15.0,Germany,Other,64254.0
25-34 years old,Remote,Less than a Bachelors,6.0,Canada,"IT, Software Development, Technology",53533.0
25-34 years old,Hybrid,Less than a Bachelors,1.0,Finland,Healthcare,41765.0
35-44 years old,Remote,Bachelor’s degree,3.0,Spain,"IT, Software Development, Technology",74963.0
25-34 years old,Remote,Less than a Bachelors,10.0,Brazil,"IT, Software Development, Technology",36518.0
55-64 years old,In-person,Bachelor’s degree,34.0,Israel,Financial Services,58801.0
25-34 years old,Hybrid,Less than a Bachelors,4.0,Germany,"IT, Software Development, Technology",41765.0
45-54 years old,Remote,Post grad,3.0,Canada,Financial Services,96657.0
18-24 years old,In-person,Bachelor’s degree,0.5,United States,"Manufacturing, Transportation, Supply",73000.0
25-34 years old,In-person,Less than a Bachelors,6.0,United States,"Manufacturing, Transportation, Supply",50000.0
45-54 years old,Hybrid,Post grad,22.0,Sweden,Retail and Consumer Services,138212.0
35-44 years old,Hybrid,Post grad,20.0,Netherlands,Healthcare,85672.0
25-34 years old,In-person,Bachelor’s degree,6.0,India,"IT, Software Development, Technology",14540.0
45-54 years old,Hybrid,Master’s degree,25.0,Germany,"Manufacturing, Transportation, Supply",113515.0
35-44 years old,In-person,Less than a Bachelors,9.0,Austria,"IT, Software Development, Technology",78711.0
35-44 years old,Hybrid,Master’s degree,17.0,France,Financial Services,85672.0
45-54 years old,Remote,Less than a Bachelors,25.0,United States,Healthcare,110000.0
25-34 years old,Remote,Bachelor’s degree,7.0,Brazil,Legal Services,24345.0
18-24 years old,Hybrid,Less than a Bachelors,5.0,United Kingdom,"IT, Software Development, Technology",52138.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,Germany,Healthcare,62112.0
35-44 years old,Remote,Less than a Bachelors,16.0,Italy,"IT, Software Development, Technology",42836.0
35-44 years old,In-person,Bachelor’s degree,8.0,Germany,Other,80317.0
35-44 years old,In-person,Bachelor’s degree,13.0,Israel,Retail and Consumer Services,96220.0
25-34 years old,Remote,Master’s degree,5.0,Netherlands,"IT, Software Development, Technology",64254.0
18-24 years old,Remote,Bachelor’s degree,2.0,India,"IT, Software Development, Technology",11511.0
25-34 years old,Remote,Master’s degree,10.0,United States,"Manufacturing, Transportation, Supply",165000.0
25-34 years old,Remote,Master’s degree,13.0,Russian,"IT, Software Development, Technology",74254.0
35-44 years old,In-person,Less than a Bachelors,3.0,Italy,"IT, Software Development, Technology",25701.0
18-24 years old,Hybrid,Bachelor’s degree,3.0,Germany,Healthcare,69608.0
35-44 years old,Remote,Bachelor’s degree,15.0,France,"IT, Software Development, Technology",149925.0
25-34 years old,Hybrid,Bachelor’s degree,10.0,Netherlands,Retail and Consumer Services,78175.0
45-54 years old,Hybrid,Master’s degree,23.0,Netherlands,Financial Services,117798.0
35-44 years old,In-person,Master’s degree,11.0,Germany,"Manufacturing, Transportation, Supply",74963.0
45-54 years old,In-person,Less than a Bachelors,27.0,United States,Higher Education,111420.0
25-34 years old,Hybrid,Master’s degree,8.0,France,"IT, Software Development, Technology",107090.0
25-34 years old,Hybrid,Less than a Bachelors,12.0,Sweden,Financial Services,46439.0
25-34 years old,Hybrid,Bachelor’s degree,5.0,Sweden,"IT, Software Development, Technology",50678.0
25-34 years old,Remote,Master’s degree,6.0,Brazil,"IT, Software Development, Technology",44633.0
55-64 years old,In-person,Master’s degree,22.0,Germany,"IT, Software Development, Technology",104343.0
25-34 years old,Hybrid,Master’s degree,7.0,United Kingdom,"IT, Software Development, Technology",68276.0
25-34 years old,Remote,Master’s degree,11.0,India,Other,52345.0
25-34 years old,Hybrid,Bachelor’s degree,11.0,India,"IT, Software Development, Technology",21810.0
35-44 years old,Remote,Bachelor’s degree,21.0,United States,Insurance,120000.0
25-34 years old,Remote,Master’s degree,12.0,Germany,"IT, Software Development, Technology",91026.0
35-44 years old,Hybrid,Master’s degree,10.0,United States,"IT, Software Development, Technology",250000.0
25-34 years old,Hybrid,Master’s degree,11.0,France,Retail and Consumer Services,58899.0
25-34 years old,Hybrid,Less than a Bachelors,5.0,United Kingdom,Higher Education,57104.0
45-54 years old,In-person,Bachelor’s degree,25.0,Germany,"IT, Software Development, Technology",91026.0
25-34 years old,Remote,Bachelor’s degree,13.0,Germany,"IT, Software Development, Technology",171343.0
45-54 years old,Hybrid,Bachelor’s degree,31.0,United States,Retail and Consumer Services,150000.0
25-34 years old,Hybrid,Bachelor’s degree,10.0,Netherlands,"IT, Software Development, Technology",78711.0
18-24 years old,In-person,Bachelor’s degree,1.0,United States,"Manufacturing, Transportation, Supply",73000.0
18-24 years old,Hybrid,Master’s degree,3.0,United States,Other,72000.0
35-44 years old,Hybrid,Bachelor’s degree,23.0,United Kingdom,"IT, Software Development, Technology",47173.0
25-34 years old,Hybrid,Master’s degree,3.0,Germany,"IT, Software Development, Technology",74963.0
18-24 years old,Hybrid,Less than a Bachelors,0.5,United States,Advertising Services,50000.0
25-34 years old,Hybrid,Bachelor’s degree,8.0,Netherlands,Retail and Consumer Services,107090.0
25-34 years old,In-person,Less than a Bachelors,5.0,United States,"Manufacturing, Transportation, Supply",40000.0
25-34 years old,Remote,Master’s degree,15.0,Brazil,Retail and Consumer Services,22398.0
35-44 years old,Remote,Less than a Bachelors,20.0,Canada,Financial Services,204466.0
25-34 years old,Remote,Bachelor’s degree,15.0,Brazil,"IT, Software Development, Technology",169000.0
25-34 years old,In-person,Less than a Bachelors,5.0,United States,"Manufacturing, Transportation, Supply",110000.0
25-34 years old,In-person,Master’s degree,8.0,France,Wholesale,128507.0
55-64 years old,Remote,Less than a Bachelors,34.0,Russian,"IT, Software Development, Technology",29702.0
35-44 years old,Hybrid,Less than a Bachelors,20.0,Portugal,Financial Services,61041.0
18-24 years old,Hybrid,Bachelor’s degree,3.0,Germany,"IT, Software Development, Technology",47548.0
35-44 years old,Hybrid,Post grad,11.0,Sweden,"IT, Software Development, Technology",57128.0
45-54 years old,In-person,Master’s degree,25.0,Germany,"Manufacturing, Transportation, Supply",128507.0
25-34 years old,Remote,Master’s degree,6.0,Portugal,"IT, Software Development, Technology",102806.0
35-44 years old,In-person,Less than a Bachelors,23.0,United States,Advertising Services,110000.0
25-34 years old,Hybrid,Post grad,6.0,Italy,"IT, Software Development, Technology",42836.0
25-34 years old,Hybrid,Bachelor’s degree,10.0,Germany,"Manufacturing, Transportation, Supply",91026.0
45-54 years old,Remote,Master’s degree,17.0,Germany,"IT, Software Development, Technology",144571.0
45-54 years old,Hybrid,Post grad,13.0,Spain,"IT, Software Development, Technology",29985.0
25-34 years old,Remote,Bachelor’s degree,7.0,France,Oil & Gas,72821.0
35-44 years old,Remote,Bachelor’s degree,6.0,Canada,Insurance,70634.0
25-34 years old,Remote,Master’s degree,6.0,United Kingdom,Financial Services,105517.0
35-44 years old,Remote,Bachelor’s degree,8.0,United States,Other,170000.0
25-34 years old,Hybrid,Master’s degree,7.0,Switzerland,Financial Services,165324.0
35-44 years old,Remote,Bachelor’s degree,12.0,United States,"IT, Software Development, Technology",200000.0
35-44 years old,In-person,Master’s degree,19.0,India,"IT, Software Development, Technology",53314.0
25-34 years old,Remote,Less than a Bachelors,6.0,Spain,Healthcare,58899.0
55-64 years old,Remote,Master’s degree,30.0,Germany,"IT, Software Development, Technology",85672.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,Switzerland,"IT, Software Development, Technology",137770.0
18-24 years old,Hybrid,Master’s degree,4.0,Germany,Advertising Services,51403.0
55-64 years old,Remote,Bachelor’s degree,11.0,United States,"IT, Software Development, Technology",130000.0
25-34 years old,In-person,Bachelor’s degree,10.0,Netherlands,"IT, Software Development, Technology",69608.0
25-34 years old,Remote,Master’s degree,13.0,Spain,"IT, Software Development, Technology",69608.0
18-24 years old,Hybrid,Bachelor’s degree,3.0,Spain,"IT, Software Development, Technology",49797.0
25-34 years old,Remote,Bachelor’s degree,9.0,Brazil,"IT, Software Development, Technology",81150.0
35-44 years old,Hybrid,Bachelor’s degree,2.0,United States,"Manufacturing, Transportation, Supply",90000.0
25-34 years old,Hybrid,Master’s degree,3.0,Germany,Retail and Consumer Services,75177.0
25-34 years old,Hybrid,Master’s degree,4.0,United Kingdom,"IT, Software Development, Technology",117931.0
25-34 years old,Hybrid,Bachelor’s degree,10.0,United States,"Manufacturing, Transportation, Supply",235000.0
35-44 years old,Hybrid,Less than a Bachelors,15.0,Italy,"Manufacturing, Transportation, Supply",69608.0
25-34 years old,In-person,Master’s degree,5.0,India,"IT, Software Development, Technology",12117.0
25-34 years old,Remote,Master’s degree,5.0,Spain,"IT, Software Development, Technology",34804.0
35-44 years old,Hybrid,Master’s degree,12.0,Germany,Other,96381.0
25-34 years old,Remote,Less than a Bachelors,11.0,United States,"IT, Software Development, Technology",150000.0
18-24 years old,Hybrid,Bachelor’s degree,2.0,United Kingdom,Financial Services,70759.0
35-44 years old,In-person,Post grad,7.0,Netherlands,Healthcare,91026.0
35-44 years old,Hybrid,Bachelor’s degree,19.0,Denmark,Other,100649.0
35-44 years old,Hybrid,Bachelor’s degree,20.0,Germany,Other,48190.0
25-34 years old,Remote,Bachelor’s degree,3.0,United States,Financial Services,92000.0
25-34 years old,Hybrid,Bachelor’s degree,13.0,Denmark,"IT, Software Development, Technology",104963.0
45-54 years old,Hybrid,Master’s degree,25.0,Switzerland,"Manufacturing, Transportation, Supply",132260.0
25-34 years old,Hybrid,Master’s degree,13.0,Germany,Other,70679.0
25-34 years old,Remote,Less than a Bachelors,6.0,United States,Financial Services,72500.0
25-34 years old,Hybrid,Bachelor’s degree,5.0,United States,Retail and Consumer Services,120000.0
25-34 years old,In-person,Bachelor’s degree,5.0,Italy,Healthcare,21418.0
35-44 years old,Remote,Bachelor’s degree,12.0,United States,"IT, Software Development, Technology",139000.0
25-34 years old,Hybrid,Bachelor’s degree,4.0,Netherlands,"IT, Software Development, Technology",38167.0
35-44 years old,Hybrid,Master’s degree,16.0,Canada,Advertising Services,245360.0
25-34 years old,Hybrid,Less than a Bachelors,12.0,Canada,Financial Services,118962.0
25-34 years old,In-person,Less than a Bachelors,10.0,Germany,Other,40480.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,Germany,"Manufacturing, Transportation, Supply",64254.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,United States,Other,165000.0
25-34 years old,Hybrid,Bachelor’s degree,7.0,Germany,"Manufacturing, Transportation, Supply",69608.0
55-64 years old,Remote,Bachelor’s degree,27.0,United States,Healthcare,220000.0
25-34 years old,Remote,Bachelor’s degree,9.0,United States,Financial Services,185000.0
25-34 years old,Remote,Master’s degree,4.0,France,Legal Services,53545.0
35-44 years old,Hybrid,Master’s degree,25.0,Netherlands,Healthcare,42836.0
25-34 years old,Hybrid,Bachelor’s degree,3.0,Germany,"IT, Software Development, Technology",51403.0
35-44 years old,Remote,Bachelor’s degree,21.0,United Kingdom,Other,62069.0
45-54 years old,Remote,Master’s degree,26.0,United States,"IT, Software Development, Technology",246000.0
25-34 years old,Remote,Master’s degree,4.0,United Kingdom,Other,136552.0
35-44 years old,Hybrid,Bachelor’s degree,12.0,United Kingdom,"IT, Software Development, Technology",173793.0
25-34 years old,Remote,Bachelor’s degree,1.0,United Kingdom,"IT, Software Development, Technology",39724.0
25-34 years old,Remote,Master’s degree,4.0,Germany,Other,64254.0
25-34 years old,Remote,Bachelor’s degree,11.0,United States,"IT, Software Development, Technology",100000.0
25-34 years old,Hybrid,Bachelor’s degree,4.0,Canada,Other,74351.0
35-44 years old,Remote,Master’s degree,22.0,Finland,Higher Education,54616.0
18-24 years old,In-person,Bachelor’s degree,6.0,United Kingdom,Financial Services,68276.0
45-54 years old,Hybrid,Less than a Bachelors,36.0,United States,Financial Services,128000.0
55-64 years old,Hybrid,Bachelor’s degree,33.0,United States,"IT, Software Development, Technology",205000.0
25-34 years old,Hybrid,Master’s degree,7.0,Austria,Other,69608.0
25-34 years old,Remote,Bachelor’s degree,2.0,United States,Financial Services,117000.0
35-44 years old,Remote,Bachelor’s degree,0.5,United States,"IT, Software Development, Technology",85000.0
35-44 years old,Hybrid,Bachelor’s degree,11.0,France,Financial Services,109231.0
35-44 years old,Hybrid,Bachelor’s degree,22.0,United States,Other,161000.0
35-44 years old,Remote,Less than a Bachelors,15.0,United States,Financial Services,135000.0
25-34 years old,Remote,Bachelor’s degree,11.0,Germany,"Manufacturing, Transportation, Supply",64254.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,Sweden,"IT, Software Development, Technology",73713.0
25-34 years old,Hybrid,Bachelor’s degree,2.0,United States,Financial Services,105000.0
18-24 years old,Hybrid,Master’s degree,0.5,Canada,"IT, Software Development, Technology",69147.0
35-44 years old,Remote,Less than a Bachelors,20.0,United States,"IT, Software Development, Technology",225000.0
25-34 years old,Remote,Bachelor’s degree,6.0,United Kingdom,Healthcare,99311.0
55-64 years old,Hybrid,Master’s degree,31.0,Norway,"Manufacturing, Transportation, Supply",77927.0
35-44 years old,In-person,Less than a Bachelors,8.0,United States,"Manufacturing, Transportation, Supply",85000.0
35-44 years old,In-person,Post grad,7.0,United States,"IT, Software Development, Technology",172000.0
18-24 years old,Remote,Less than a Bachelors,5.0,United States,Insurance,94000.0
18-24 years old,Hybrid,Bachelor’s degree,4.0,Brazil,Financial Services,24345.0
25-34 years old,Remote,Bachelor’s degree,11.0,Finland,Financial Services,74963.0
35-44 years old,In-person,Less than a Bachelors,16.0,Netherlands,Other,64254.0
25-34 years old,In-person,Bachelor’s degree,6.0,Norway,"IT, Software Development, Technology",83364.0
18-24 years old,Hybrid,Bachelor’s degree,2.0,Sweden,Healthcare,40082.0
